iter	Logloss
0	0.5886845477
1	0.5062102824
2	0.4509227287
3	0.4042804969
4	0.3676188653
5	0.3437090144
6	0.3241683172
7	0.3080540778
8	0.2942188648
9	0.285154956
10	0.2778650741
11	0.2716165149
12	0.26662587
13	0.2635279239
14	0.2603418771
15	0.2577057601
16	0.2553912687
17	0.2541223804
18	0.2529146123
19	0.2508630529
20	0.2502879335
21	0.249391323
22	0.2487614412
23	0.2483151933
24	0.2475619025
25	0.2472568297
26	0.2469457752
27	0.2466332162
28	0.2463669217
29	0.2458327029
30	0.245665989
31	0.2453536137
32	0.2450426263
33	0.2449066986
34	0.244728751
35	0.2446384385
36	0.2440831449
37	0.2439414503
38	0.243628972
39	0.2434573554
40	0.243335988
41	0.2431987216
42	0.2431464665
43	0.2430900833
44	0.2429844449
45	0.242880078
46	0.2428405565
47	0.2427346583
48	0.2425986277
49	0.2424849345
50	0.2423986336
51	0.2423213502
52	0.2422809735
53	0.2422523678
54	0.2422091614
55	0.2421425385
56	0.2420479009
57	0.2419732322
58	0.2418948697
59	0.2418357061
60	0.2417822959
61	0.2417139358
62	0.2416771544
63	0.2416475905
64	0.2415947892
65	0.2415670923
66	0.2415277096
67	0.2415174968
68	0.2414836839
69	0.2414403163
70	0.2413776022
71	0.2413638612
72	0.2413532544
73	0.2413404044
74	0.2413178968
75	0.2413083869
76	0.2412713996
77	0.24123653
78	0.241214009
79	0.2411954414
80	0.2411868404
81	0.2411769455
82	0.2411543528
83	0.2411192639
84	0.2410897895
85	0.2410775485
86	0.241071016
87	0.2410623076
88	0.2410541096
89	0.2410501426
90	0.2409916103
91	0.2409732801
92	0.2409529574
93	0.2409086093
94	0.2408695803
95	0.240876659
96	0.2408548364
97	0.2408419909
98	0.2408329511
99	0.2408049767
100	0.240794634
101	0.2407834452
102	0.2407792185
103	0.240762227
104	0.2407546334
105	0.2407132538
106	0.2407043036
107	0.2406959981
108	0.2406954877
109	0.2406888031
110	0.240686448
111	0.2406765217
112	0.2406459996
113	0.2406184461
114	0.2406008725
115	0.2405941072
116	0.240578535
117	0.2405718056
118	0.2405677491
119	0.2405351854
120	0.2405247397
121	0.2405120285
122	0.2404993084
123	0.2404988249
124	0.2404763352
125	0.2404686431
126	0.2404363928
127	0.2404303484
128	0.2404265247
129	0.2404171894
130	0.2404158149
131	0.2404244965
132	0.2403958997
133	0.2403848944
134	0.2403615405
135	0.2403557648
136	0.2403414328
137	0.2403277769
138	0.2403262635
139	0.2403313946
140	0.2403259859
141	0.2403149806
142	0.2403047409
143	0.2402942326
144	0.240270234
145	0.240265197
146	0.2402625375
147	0.2402521053
148	0.2402241756
149	0.240223795
150	0.2401958922
151	0.2401935595
152	0.2401945132
153	0.2401890374
154	0.2401829258
155	0.240168361
156	0.2401619271
157	0.240154235
158	0.2401451326
159	0.2401365585
160	0.2401249084
161	0.2401180805
162	0.2401128912
163	0.240098895
164	0.2400925417
165	0.2400904776
166	0.2400856287
167	0.2400758546
168	0.2400732846
169	0.2400657358
170	0.2400582676
171	0.2400364585
172	0.2400296663
173	0.2400247189
174	0.2400207475
175	0.2400223772
176	0.2400248487
177	0.240019758
178	0.2400190013
179	0.2400057931
180	0.2399949177
181	0.2399930506
182	0.2399825915
183	0.2399775769
184	0.2399642837
185	0.2399610018
186	0.2399577647
187	0.2399523829
188	0.2399509233
189	0.2399486309
190	0.2399478877
191	0.2399369943
192	0.2399294007
193	0.2399276321
194	0.2399238398
195	0.2399123644
196	0.239908093
197	0.2399012069
198	0.2398949878
199	0.239891791
200	0.2398902374
201	0.2398853168
202	0.2398739622
203	0.2398716967
204	0.239868867
205	0.2398654105
206	0.2398614257
207	0.2398558379
208	0.2398485533
209	0.2398467131
210	0.2398366391
211	0.2398355511
212	0.2398315394
213	0.2398296768
214	0.2398164507
215	0.2398103168
216	0.2398075677
217	0.2397953221
218	0.2397887449
219	0.2397829692
220	0.2397746637
221	0.2397731548
222	0.239772134
223	0.2397699401
224	0.2397299484
225	0.2397343407
226	0.2397315379
227	0.2397287485
228	0.239727074
229	0.2397270964
230	0.2397151732
231	0.2397063976
232	0.2397022068
233	0.239703353
234	0.2396934268
235	0.2397028292
236	0.2396968295
237	0.2396923477
238	0.2396875793
239	0.2396778232
240	0.2396706818
241	0.2396684969
242	0.2396718997
243	0.2396614316
244	0.2396589243
245	0.2396527053
246	0.2396499562
247	0.2396433656
248	0.2396384897
249	0.2396335691
250	0.2396314245
251	0.2396279456
252	0.239624404
253	0.2396213773
254	0.2396112585
255	0.2396089482
256	0.2396067991
257	0.2396046186
258	0.2396076229
259	0.2396033829
260	0.239603468
261	0.2396007592
262	0.2395995637
263	0.2396002264
264	0.2395951759
265	0.2395964564
266	0.2395922164
267	0.2395792858
268	0.2395748353
269	0.2395733802
270	0.2395711863
271	0.2395660463
272	0.2395622809
273	0.239562048
274	0.2395605705
275	0.2395587303
276	0.2395543649
277	0.2395509935
278	0.2395486921
279	0.2395458893
280	0.2395444521
281	0.2395421462
282	0.2395377853
283	0.2395318215
284	0.2395287097
285	0.2395286157
286	0.2395250741
287	0.2395250562
288	0.2395251861
289	0.2395231399
290	0.2395127793
291	0.2395071424
292	0.2395133704
293	0.239513151
294	0.2395113376
295	0.2395089109
296	0.2395015367
297	0.2394992622
298	0.2394955729
299	0.2394931999
