iter	Logloss
0	0.6003718704
1	0.5271696753
2	0.452371416
3	0.4079808575
4	0.3679134376
5	0.3309488298
6	0.3062936806
7	0.2836830376
8	0.269790664
9	0.2543988419
10	0.2383085534
11	0.2288194839
12	0.2199541378
13	0.2135328107
14	0.2041192222
15	0.198970371
16	0.1938747521
17	0.1900867424
18	0.1836029401
19	0.1803638936
20	0.1753646845
21	0.1721731606
22	0.1679347021
23	0.1634212502
24	0.1614235225
25	0.1590680016
26	0.1567961007
27	0.155060041
28	0.1531102275
29	0.1512451673
30	0.1502094668
31	0.1482414123
32	0.1468277894
33	0.145500227
34	0.1443469173
35	0.1423307993
36	0.1410261033
37	0.1403886784
38	0.1388490198
39	0.137070475
40	0.1360660619
41	0.1348394032
42	0.1341434995
43	0.1331733721
44	0.1323163042
45	0.1313809732
46	0.1306347753
47	0.1300581782
48	0.1293344011
49	0.1278748079
50	0.1272381949
51	0.1266243526
52	0.1249211937
53	0.1243308787
54	0.1235734746
55	0.1229523565
56	0.1225477761
57	0.1221858336
58	0.1218510846
59	0.1208538356
60	0.1206188126
61	0.1201764348
62	0.1195954354
63	0.1193205219
64	0.1188655517
65	0.1186034629
66	0.1176553416
67	0.1173726416
68	0.1171726355
69	0.1166787809
70	0.1157338655
71	0.1151092105
72	0.1142884422
73	0.1139317681
74	0.1135559583
75	0.1131566552
76	0.1126295029
77	0.112146688
78	0.1115369639
79	0.1099140433
80	0.1096758789
81	0.1093486206
82	0.1090827928
83	0.1087735114
84	0.1085434526
85	0.1081608716
86	0.1079294354
87	0.1075437306
88	0.1072909662
89	0.107044739
90	0.1066291471
91	0.106326035
92	0.1060291313
93	0.1058229264
94	0.1055914824
95	0.1052225085
96	0.1050588245
97	0.1049312378
98	0.1045137591
99	0.1041750645
100	0.103965865
101	0.1030214502
102	0.1028435503
103	0.1027450706
104	0.1025687989
105	0.1023157217
106	0.1021864899
107	0.1020389965
108	0.1016531512
109	0.1014385521
110	0.1010548318
111	0.1005339467
112	0.1004204367
113	0.1002445788
114	0.1001536054
115	0.09999843526
116	0.09970430157
117	0.09949243777
118	0.09934775315
119	0.09920179767
120	0.09891250605
121	0.09851184984
122	0.09837230119
123	0.09827025952
124	0.09820800169
125	0.09796979232
126	0.09786357784
127	0.09763678674
128	0.09754805065
129	0.09738813781
130	0.09725395502
131	0.09701143361
132	0.09676030442
133	0.09649398249
134	0.09630432585
135	0.09616179014
136	0.09610953583
137	0.09547843429
138	0.09533399073
139	0.09511225631
140	0.09489490186
141	0.0948380431
142	0.09451522345
143	0.09426679957
144	0.094077231
145	0.09382883537
146	0.09376239404
147	0.0937293665
148	0.0935866599
149	0.09321564828
150	0.09312971611
151	0.09293863668
152	0.0925214262
153	0.09243464441
154	0.09233724151
155	0.09224231259
156	0.09202127572
157	0.09188664336
158	0.09179773196
159	0.0917197106
160	0.09162368705
161	0.09153743225
162	0.09153743969
163	0.09144640838
164	0.09125682061
165	0.09093058521
166	0.09081541747
167	0.09070611585
168	0.09043800605
169	0.09036997582
170	0.09028193743
171	0.09009852553
172	0.0898276812
173	0.08970854756
174	0.08961499164
175	0.08949694104
176	0.08936742461
177	0.08932067184
178	0.08922342476
179	0.08912238003
180	0.08903237293
181	0.08887762658
182	0.0887481245
183	0.08867028229
184	0.08862543945
185	0.0884102459
186	0.08830009419
187	0.08818064715
188	0.08800193084
189	0.08784767355
190	0.08777795554
191	0.08772086313
